City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ubari,26.5921,12.7805,30.96,15,5,2.03,LY,1690349516
83,tipasa,36.5897,2.4475,24.92,82,0,1.16,DZ,1690349516
84,gongchangling,41.1167,123.45,31.82,50,69,3.71,CN,1690349516
85,ko pha ngan,9.7578,100.0291,24.38,76,85,8.63,TH,1690349517
86,whitby,54.4877,-0.615,13.51,88,15,0.89,GB,1690349517
87,azazga,36.7447,4.3722,22.8,84,9,1.5,DZ,1690349517
88,santa ana de yacuma,-13.75,-65.4333,22.99,62,23,0.95,BO,1690349517
89,tolanaro,-25.0319,46.9987,21.04,46,40,5.14,MG,1690349517
90,kokopo,-4.352,152.2633,28.55,67,25,7.04,PG,1690349518
91,dudinka,69.4058,86.1778,23.68,45,0,4.01,RU,1690349518
92,narbonne,43.0833,2.8333,18.51,63,93,7.11,FR,1690349518
93,kenora,49.8167,-94.4337,22.54,78,75,3.09,CA,1690349518
94,thompson,55.7435,-97.8558,14.09,72,20,5.14,CA,1690349518
95,kourou,5.1552,-52.6478,24.03,91,42,2.3,GF,1690349518
96,mwanga,-4.8,38.2,22.3,72,47,3.41,TZ,1690349519
97,fortuna,40.5982,-124.1573,15.37,95,100,3.09,US,1690349519
98,west island,-12.1568,96.8225,26.99,65,40,9.26,CC,1690349519
99,hizan,38.2257,42.4278,26.25,40,0,2.38,TR,1690349519
100,matelandia,-25.2408,-53.9964,19.54,50,71,3.08,BR,1690349519
101,anadyr,64.75,177.4833,12.28,93,75,2.0,RU,1690349519
102,haiku-pauwela,20.9219,-156.3051,25.02,82,40,6.17,US,1690349520
103,cooper's town,26.8667,-77.5167,29.28,71,93,5.41,BS,1690349520
104,fabriano,43.3406,12.9073,20.98,76,97,4.65,IT,1690349447
105,ilulissat,69.2167,-51.1,3.01,93,100,0.0,GL,1690349520
106,nar'yan-mar,67.6713,53.087,20.23,64,78,1.42,RU,1690349520
107,atafu village,-8.5421,-172.5159,28.84,73,8,8.17,TK,1690349520
108,danjiangkou,32.5428,111.5086,32.52,55,100,4.22,CN,1690349521
109,saipan,15.1355,145.701,27.39,100,40,5.14,MP,1690349521
110,usinsk,65.9939,57.5281,20.59,60,100,1.15,RU,1690349521
111,amahai,-3.3333,128.9167,26.25,80,78,4.66,ID,1690349521
112,shanhecun,44.7,127.2,29.49,63,48,2.98,CN,1690349521
113,kristinestad,62.2743,21.376,15.05,74,100,2.41,FI,1690349360
114,mount gambier,-37.8333,140.7667,14.7,65,89,1.97,AU,1690349455
115,tura,25.5198,90.2201,29.88,70,98,2.91,IN,1690349415
116,pizarro,4.9533,-77.366,25.47,87,100,1.66,CO,1690349522
117,zelenogorsk,56.1147,94.5861,25.21,61,82,3.95,RU,1690349522
118,tosontsengel,48.7567,98.2839,21.47,30,16,3.51,MN,1690349522
119,port saint john's,-31.6229,29.5448,16.39,39,90,2.86,ZA,1690349522
120,sterling,39.0062,-77.4286,22.38,89,0,0.0,US,1690349269
121,sakakah,29.9697,40.2064,31.76,17,1,2.1,SA,1690349522
122,nieuw amsterdam,5.8833,-55.0833,25.57,90,79,2.61,SR,1690349523
123,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,3.6,US,1690349523
124,kharkhorin,47.1975,102.8238,21.18,46,3,5.45,MN,1690349523
125,sabang,5.8933,95.3214,28.57,75,100,8.32,ID,1690349523
126,christchurch,-43.5333,172.6333,8.11,61,6,0.51,NZ,1690349334
127,port elizabeth,-33.918,25.5701,6.16,87,0,1.54,ZA,1690349523
128,piti village,13.4626,144.6933,29.49,84,75,8.23,GU,1690349523
129,punta arenas,-53.15,-70.9167,0.21,74,17,5.14,CL,1690349523
130,lobujya,27.95,86.8167,5.83,87,100,2.85,NP,1690349524
131,mount isa,-20.7333,139.5,25.87,44,7,5.66,AU,1690349524
132,as saffaniyah,27.9708,48.73,38.43,32,24,3.47,SA,1690349524
133,hadibu,12.65,54.0333,25.06,78,92,13.96,YE,1690349524
134,ahoada,5.074,6.6535,25.14,96,96,0.9,NG,1690349525
135,fort mcmurray,56.7268,-111.381,14.77,88,20,4.63,CA,1690349419
136,nadi,-17.8,177.4167,24.0,83,100,1.03,FJ,1690349525
137,turinsk,58.0458,63.696,23.69,43,69,3.79,RU,1690349525
138,lihue,21.9789,-159.3672,27.58,86,100,6.17,US,1690349525
139,olonkinbyen,70.9221,-8.7187,5.05,90,100,4.17,SJ,1690349525
140,puerto madero,14.7208,-92.4215,27.11,100,75,0.0,MX,1690349526
141,ullal,12.8,74.85,23.53,100,100,2.06,IN,1690349526
142,port-cartier,50.0334,-66.8654,16.53,87,91,0.74,CA,1690349526
143,minas de marcona,-15.2119,-75.1103,11.68,88,64,6.39,PE,1690349526
144,vila velha,-20.3297,-40.2925,20.97,99,100,1.79,BR,1690349526
145,tamanrasset,22.785,5.5228,26.95,14,0,3.6,DZ,1690349527
146,lebu,-37.6167,-73.65,7.84,88,18,1.69,CL,1690349527
147,san nicolas de los garza,25.75,-100.3,29.55,54,0,7.2,MX,1690349527
148,kayyerkan,69.3786,87.7439,23.5,64,0,1.98,RU,1690349527
149,flying fish cove,-10.4217,105.6791,26.82,78,100,5.66,CX,1690349527
150,invercargill,-46.4,168.35,6.94,75,95,4.96,NZ,1690349527
151,rafaela,-31.2503,-61.4867,10.56,82,100,0.89,AR,1690349528
152,yuzhno-kurilsk,44.0306,145.8556,21.86,85,68,1.59,RU,1690349528
